ID,Name,ELO,Lat,Lon
ARI,Cardinals,1000,33.5277,-112.262608
ATL,Falcons,1000,33.757614,-84.400972
BAL,Ravens,1651,39.277969,-76.622767
BUF,Bills,1682,42.773739,-78.786978
CAR,Panthers,1000,35.225808,-80.852861
CHI,Bears,1497,41.862306,-87.616672
CIN,Bengals,1000,39.095442,-84.516039
CLE,Browns,1578,41.506022,-81.699564
DAL,Cowboys,1000,32.747778,-97.092778
DEN,Broncos,1000,39.743936,-105.020097
DET,Lions,1000,42.340156,-83.045808
GB,Packers,1675,44.501306,-88.062167
HOU,Texans,1000,29.684781,-95.410956
IND,Colts,1594,39.760056,-86.163806
JAX,Jaguars,1000,30.323925,-81.637356
KC,Chiefs,1711,39.048914,-94.484039
LAC,Chargers,1000,32.783117,-117.119525
LAR,Rams,1591,38.632975,-90.188547
LV,Raiders,1000,37.751411,-122.200889
MIA,Dolphins,1000,25.957919,-80.238842
MIN,Vikings,1000,44.973881,-93.258094
NE,Patriots,1000,42.090925,-71.26435
NO,Saints,1731,29.950931,-90.081364
NYG,Giants,1000,40.812194,-74.076983
NYJ,Jets,1000,40.812194,-74.076983
PHI,Eagles,1000,39.900775,-75.167453
PIT,Steelers,1578,40.446786,-80.015761
SEA,Seahawks,1620,47.595153,-122.331625
SF,49ers,1000,37.713486,-122.386256
TB,Buccaneers,1618,27.975967,-82.50335
TEN,Titans,1572,36.166461,-86.771289
WAS,Football Team,1453,38.907697,-76.864517
